(255,38,0)
(0,63,255)
(255,114,0)
(127,255,0)
(146,255,0)
(223,255,0)
(0,255,25)
(242,0,255)
(0,235,255)
(0,140,255)
(0,44,255)
(255,191,0)
(0,255,6)
(255,19,0)
(255,76,0)
(70,255,0)
(0,159,255)
(255,248,0)
(255,229,0)
(0,255,159)
(255,133,0)
(255,172,0)
(0,197,255)
(12,255,0)
(255,0,95)
(0,255,255)
(89,255,0)
(0,6,255)
(242,255,0)
(146,0,255)
(0,255,44)
(0,216,255)
(70,0,255)
(255,0,57)
(184,255,0)
(0,82,255)
(184,0,255)
(255,0,152)
(0,25,255)
(255,0,19)
(0,255,178)
(255,0,191)
(0,255,197)
(255,210,0)
(255,0,76)
(204,0,255)
(255,153,0)
(0,255,82)
(255,95,0)
(165,0,255)
(51,255,0)
(127,0,255)
(0,255,140)
(255,0,229)
(255,0,38)
(0,121,255)
(255,0,114)
(12,0,255)
(203,255,0)
(255,0,210)
(108,0,255)
(50,0,255)
(89,0,255)
(255,57,0)
(255,0,0)
(31,0,255)
(255,0,172)
(0,255,121)
(0,178,255)
(31,255,0)
(255,0,248)
(108,255,0)
(223,0,255)
(165,255,0)
(0,255,102)
(0,102,255)
(0,255,216)
(0,255,235)
(255,0,133)
(0,255,63)
